sector  pad  layer noise_in_MeV
1  52  2  0.03401374033300229
1  53  2  0.03191605081124315
1  50  2  0.03146604065359495
1  51  2  0.029927717791233804
1  48  2  0.03055247783828394
1  49  2  0.0289272150101814
1  46  2  0.0317381537211336
1  47  2  0.03790499232277425
1  44  2  0.036156351318224554
1  45  2  0.034712200237569296
1  42  2  0.026643603385421866
1  43  2  0.03580317864221642
1  40  2  0.025505651905320385
1  41  2  0.03364139601750251
1  38  2  0.039371871635590756
1  39  2  0.03339499788257493
1  36  2  0.022500352034333607
1  37  2  0.029626630938023205
1  34  2  0.03330707165437972
1  35  2  0.030671959812820324
1  32  2  0.024559237711152187
1  33  2  0.03203985466228712
1  30  2  0.02311789189587269
1  31  2  0.04769341922014792
1  28  2  0.03303161832060595
1  29  2  0.03591994374282339
1  26  2  0.03213906708252475
1  27  2  0.021971552532732277
1  24  2  0.02361645221846509
1  25  2  0.035009188518978815
1  22  2  0.029548904617516802
1  23  2  0.027081052653327886
1  20  2  0.027989337568856507
1  21  2  0.03450428727315734
1  18  2  0.033366533510764754
1  19  2  0.027635106521583058
1  16  2  0.024102065520260264
1  17  2  0.03630829156229099
1  14  2  0.026493840362244066
1  15  2  0.03056314296411132
1  12  2  0.028796872518199415
1  13  2  0.03942541359116212
1  10  2  0.02951088466513979
1  11  2  0.03280902074564909
1  8  2  0.024570558794554997
1  9  2  0.04569826145004533
1  6  2  0.027907770872615943
1  7  2  0.03658939497035804
1  4  2  0.029826718933343956
1  5  2  0.03444061054043658
1  2  2  0.028620015190629622
1  3  2  0.029086191678594137
1  0  2  0.04486872168274668
1  1  2  0.03781883624959639
0  1  2  0.03743096295263016
0  0  2  0.04028364336106816
0  3  2  0.03565849580111214
0  2  2  0.044256973787033145
0  5  2  0.02644579495898026
0  4  2  0.03587293810209934
0  7  2  0.03703950049772465
0  6  2  0.03166978991566646
0  9  2  0.026509992736016237
0  8  2  0.04058384397372471
0  11  2  0.033684984630998546
0  10  2  0.03713787785140349
0  13  2  0.03238802624330531
0  12  2  0.030732000865787906
0  15  2  0.03362154748561918
0  14  2  0.03350225625051962
0  17  2  0.027664287329326673
0  16  2  0.031489252712620354
0  19  2  0.024842078708966937
0  18  2  0.03450191698674114
0  21  2  0.03636912581218489
0  20  2  0.03294322222209075
0  23  2  0.021939119850199855
